; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",67312484352,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1503634357,"CurrentTimeLocal","Fri Aug 25 06:12:37 2017","Hostname","taurusi5417","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000236
; "Time_ContextDestroy [ms]", 0.000267
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000425,1.187777,1.187071,0.000235,0.000447,0.000256,0.000154,0.001081,2.379023,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000421,32.73009,31.667514,0.000242,0.000651,0.00035,0.000192,0.001656,64.402598,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000481,32.488696,31.448841,0.000228,0.000677,0.000339,0.00019,0.001568,63.942425,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000411,32.72358,31.523765,0.00024,0.000762,0.000364,0.000196,0.001342,64.252202,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000399,32.562626,31.433114,0.00022,0.000673,0.000338,0.00018,0.001364,64.000506,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.000423,32.518434,31.292344,0.000234,0.000693,0.000341,0.000184,0.001433,63.815743,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000429,32.534435,31.577786,0.000241,0.00068,0.000339,0.000198,0.001325,64.116979,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000475,32.549444,31.529151,0.000242,0.000687,0.000351,0.000186,0.001548,64.083637,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000451,32.607722,31.521532,0.000241,0.000808,0.000343,0.000175,0.001397,64.134241,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000423,32.61456,31.370847,0.000241,0.00063,0.000345,0.00018,0.001652,63.990531,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000413,32.637026,31.360042,0.000243,0.000892,0.000349,0.000187,0.001646,64.00229,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000375,32.560758,31.39991,0.000242,0.000681,0.000338,0.000188,0.00141,63.965477,256,0,256,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000445,32.699525,31.766542,0.000245,0.000702,0.000343,0.000182,0.001487,64.470992,256,0,256,0,0
